,info,sold_at,status,limit_price,nr
13,Ehemalige Dorfschule Prof.-Nöller-Straße 31 99326 Stadtilm,"9.000,00",Verkauft,"9.000,00",S21-02-034
14,Ehemaliges Spritzenhaus der Feuerwehr Am Anger 9 99326 Stadtilm,"9.500,00",Verkauft,"9.000,00",S21-02-035
15,zentrumnahes Wohn- und Geschäftshaus Karl-Marx-Straße 123 98746 Schwarzatal,"11.000,00",Verkauft,"8.000,00",S21-02-036
16,Dreiseitenhof Wiesenstraße 3 99998 Mühlhausen/Thüringen,"12.000,00",Verkauft,"5.000,00",S21-02-037
17,Wohnhaus Geiersthaler Straße 13 98724 Neuhaus am Rennweg,"9.000,00",Verkauft,"3.000,00",S21-02-038
18,Mehrfamilienhaus unterhalb der Osterburg Untere Straße 14 07570 Weida,"27.000,00",Verkauft,"12.000,00",S21-02-039
19,Grünfläche Zwischen Schulstraße 07586 Bad Köstritz,"1.600,00",Verkauft,"500,00",S21-02-040
,info,sold_at,status,limit_price,nr
0,"unbebautes Grundstück An der Poststraße, Flurstück 857/29 07356 Bad Lobenstein","8.000,00",Verkauft,"1.000,00",S21-02-041
1,"Gartengrundstück Rosenweg, Flurstück 758 04668 Parthenstein","1.500,00",Verkauft,"250,00",S21-02-042
2,"Gartengrundstück Rosenweg, Flurstück 799 04668 Parthenstein","1.500,00",Verkauft,"250,00",S21-02-043
3,"Gartengrundstück Rosenweg, Flurstück 801 04668 Parthenstein","1.500,00",Verkauft,"250,00",S21-02-044
4,"Gartengrundstück Rosenweg, Flurstück 815 04668 Parthenstein","1.500,00",Verkauft,"250,00",S21-02-045
5,"Gartengrundstück Rosenweg, Flurstück 829 04668 Parthenstein","5.000,00",Verkauft,"250,00",S21-02-046
6,"Gartengrundstück Rosenweg, Flurstück 839 04668 Parthenstein","4.500,00",Verkauft,"250,00",S21-02-047
7,"Gartengrundstück Rosenweg, Flurstück 848 04668 Parthenstein","4.000,00",Verkauft,"250,00",S21-02-048
8,"Gartengrundstück Rosenweg, Flurstück 849 04668 Parthenstein","3.500,00",Verkauft,"250,00",S21-02-049
9,"unbebautes Grundstück Wurzener Straße 83, 04889 Schildau","7.000,00",Verkauft,"2.000,00",S21-02-050
10,ehem. Bahnobjekt Am Bahnhof 6 39646 Oebisfelde-Weferlingen,"12.500,00",Verkauft,"1.000,00",S21-02-051
11,"Waldfläche nahe Boxberg, Flurstücke 474, 478 99887 Georgenthal/Thüringen","4.500,00",Verkauft,"500,00",S21-02-052
12,Mehrfamilienhaus Zietenstraße 35 09130 Chemnitz,"185.000,00",Verkauft,"150.000,00",S21-02-053
13,vermietete Eigentumswohnung Nr. 13 Blankenauer Straße 68 09113 Chemnitz,"27.000,00",Verkauft,"27.000,00",S21-02-054
14,bezugsfreie Eigentumswohnung Nr. 11 Blankenauer Straße 66 09113 Chemnitz,"34.000,00",Verkauft,"33.000,00",S21-02-055
15,Erholungsgrundstück Pleißeweg 1 09116 Chemnitz,"6.000,00",Nachverkauft,"6.000,00",S21-02-056
16,"3,9 ha Acker, davon 2 ha Bauerwartungsland Am Eichelberg, Flurstück 770/2 09439 Amtsberg","350.000,00",Verkauft,"95.000,00",S21-02-057
17,ehem. Ferienheim Hutweide 80 09471 Bärenstein,"29.000,00",Verkauft,"29.000,00",S21-02-060
18,Wohnhaus Kalkwerk 9 09514 Pockau-Lengefeld,"18.500,00",Verkauft,"6.000,00",S21-02-061
19,2 Wohnhäuser Talstraße 48 und 49 09526 Olbernhau,"77.000,00",Verkauft,"55.000,00",S21-02-062
,info,sold_at,status,limit_price,nr
0,"4,4 ha land- und frostwirtschaftliche Grundstücke Kreuzelweg, Flurstücke 833, 804/2, 807/2, 808 und 08309 Eibenstock","41.000,00",Verkauft,"25.000,00",S21-02-063
1,"Wald- und Landwirtschaftsflächen Flurstücke 6, 195, 272/2, 272/3, 873, 922/2 08359 Breitenbrunn/Erzgebirge","1.000,00",Verkauft,"1.000,00",S21-02-064
2,"Waldfläche Talstraße, Flurstück 57 09518 Großrückerswalde","200,00",Verkauft,"200,00",S21-02-065
3,Mehrfamilienhaus (ehem. Pension) Robert-Müller-Straße 9 08468 Reichenbach im Vogtland,"62.000,00",Verkauft,"35.000,00",S21-02-067
4,Mehfamilienhaus Netzschkauer Straße 42 08499 Reichenbach im Vogtland,"8.500,00",Verkauft,"7.000,00",S21-02-068
5,"Garagengrundstück Am Hundshübel, Flurstück 390/20 08499 Reichenbach/Vogtland","19.500,00",Verkauft,"5.000,00",S21-02-069
6,4 Eigentumswohnungen im Paket Robert-Blum-Straße 25 08209 Auerbach,"188.000,00",Verkauft,"135.000,00",S21-02-070
7,Wohn- und Geschäftshaus in zentralster Lage Herrenstraße 3 93444 Bad Kötzting,"125.000,00",Verkauft,"125.000,00",S21-02-073
8,"Denkmalgeschütztes Hotel ""Sächsisches Haus"" Sebastian-Kneipp-Straße 11 01816 Bad Gottleuba-Berggießhübel","450.000,00",Verkauft,"449.000,00",S21-02-075
9,"Verkehrs- und Landwirtschaftsflächen Flurstücke 69,813,813a,867,867a,870a,870b,870c 01738 Dorfhain","1.200,00",Verkauft,"200,00",S21-02-076
10,"Wiesen-, Landwirtschafts- und Waldflächen Flurstücke 104,680/2,751/2,786,824,842/1,897,1026,76/1 01776 Altenberg","9.500,00",Verkauft,"3.000,00",S21-02-077
11,"Waldflächen Flurstücke 727, 728 01844 Neustadt/Sachsen","6.000,00",Verkauft,"500,00",S21-02-078
12,Wohn- und Geschäftshaus Elbstraße 7a 01589 Riesa,"125.000,00",Nachverkauft,"125.000,00",S21-02-079
13,ehem. Dreiseitenhof in Alleinlage Schönerstädt 37b 04746 Hartha,"33.000,00",Verkauft,"3.000,00",S21-02-081
14,Erholungsgrundstück Zschackwitz 04720 Döbeln,"2.000,00",Verkauft,"2.000,00",S21-02-082
15,"ehemaliger Gasthof ""Alter Fritz®"" mit Nebengebäude Karl-Marx-Straße 19,19a Ecke Blutgasse 02627 Hochkirch","16.000,00",Verkauft,"15.000,00",S21-02-083
16,ehemaliger Bahnhof Bahnhofstraße 1 02681 Wilthen,"45.000,00",Verkauft,"19.000,00",S21-02-084
17,sanierungsbedürftiges Mehrfamilienhaus in guter Wohn-/Geschäftslage Klieneberger Platz 2 02763 Zittau,"84.000,00",Verkauft,"40.000,00",S21-02-085
18,"Zwei sanierungsbedürftige Mehrfamilienhäuser mit großem Grundstück Schrammstraße 3, 5 02763 Zittau","76.000,00",Verkauft,"19.000,00",S21-02-086
19,"Wald- und Verkehrsfläche Am Motodrom, Flurstück 29/35 02999 Lohsa","28.000,00",Verkauft,"1.000,00",S21-02-087
,info,sold_at,status,limit_price,nr
0,10 zusammenliegende Grundstücke Hospitalstraße (S201) 09661 Hainichen,"70.000,00",Verkauft,"70.000,00",S21-02-088
1,"Baugrundstücke Neubau, 09661 Hainichen","75.000,00",Verkauft,"60.000,00",S21-02-089
2,"verpachtetes Grundstück Berthelsdorfer Straße 38, 09661 Hainichen","48.000,00",Verkauft,"19.000,00",S21-02-090
3,"verpachtetes Grundstück Berthelsdorfer Straße 48, 09661 Hainichen","3.500,00",Verkauft,"2.000,00",S21-02-091
4,"unbebautes Grundstück Mittweidaer Straße, 09661 Hainichen","13.000,00",Verkauft,"10.000,00",S21-02-093
5,teilsaniertes Mehrfamilienhaus mit 6 Wohnungen Kirchberger Straße 128 08112 Wilkau-Haßlau,"119.000,00",Verkauft,"119.000,00",S21-02-094
6,freistehendes Mehrfamilienhaus Auerbacher Straße 29 08107 Kirchberg,"39.000,00",Verkauft,"20.000,00",S21-02-096
7,zentrumnahes Mehrfamilienhaus Marienstraße 14 08451 Crimmitschau,"12.500,00",Verkauft,"9.000,00",S21-02-097
8,"Gartengrundstück Häselriether Straße, Flurstück 578/3 98646 Hildburghausen","3.000,00",Verkauft,"2.000,00",S21-02-098
9,"2,2 ha Waldfläche Flurstücke 499, 501, 2985, 3340, 3392, 3489, 3581, 3737, 3972 36452 Kaltennordheim","12.000,00",Verkauft,"2.500,00",S21-02-099
10,"3,6 ha Wald- und Grünfläche Flurstücke 950/2, 907, 559, 950/1, 631 99820 Hörselberg-Hainich","22.000,00",Verkauft,"9.000,00",S21-02-100
11,"Waldflächen Flurstücke 132/1, 139/2 99820 Hörselberg-Hainich","2.000,00",Verkauft,"500,00",S21-02-101
12,"1,9 ha Waldfläche Flurstücke 79/1, 87, 21, 192 07926 Gefell","27.000,00",Verkauft,"2.000,00",S21-02-102
13,"Waldflächen Flurstücke 26/2, 27/1, 28 07907 Schleiz","6.500,00",Verkauft,"1.000,00",S21-02-103
14,teilweise vermietetes Mehrfamilienhaus Altenburger Straße 41 06712 Zeitz,"202.000,00",Verkauft,"98.000,00",S21-01-001
15,Wohn- und Geschäftshaus Ludwig-Lange-Straße 23 06712 Zeitz,"140.000,00",Verkauft,"130.000,00",S21-01-002
16,Mehrfamilienhaus in der Nähe des Stadtparks Mühlberg 3 08209 Auerbach,"72.000,00",Verkauft,"54.000,00",S21-01-003
17,Überwiegend vermietetes Mehrfamilienhaus Schillerstraße 2 08233 Treuen,"132.000,00",Verkauft,"125.000,00",S21-01-004
18,leerstehendes Mehrfamilienhaus Pausaer Strasse 132 08525 Plauen,"69.000,00",Verkauft,"69.000,00",S21-01-005
19,Mehrfamilienhaus Karl-Marx-Ring 2 08499 Reichenbach im Vogtland,"15.000,00",Verkauft,"15.000,00",S21-01-006
,info,sold_at,status,limit_price,nr
0,Zweifamilienhaus in ruhiger Lage Lohma 39 04618 Langenleuba-Niederhain,"67.000,00",Verkauft,"19.000,00",S21-01-007
1,"Zwei sanierungsbedürftige Wohn- und Geschäftshäuser in Marktnähe Markt 19, 20 06667 Weißenfels","100.000,00",Verkauft,"49.000,00",S21-01-008
2,Wochenendgrundstück am Harthsee Am Harthsee 11 04654 Frohburg,"52.000,00",Verkauft,"19.500,00",S21-01-009
3,EFH mit Gartengrundstück Zum Streitwald 16 04654 Frohburg,"23.000,00",Verkauft,"3.000,00",S21-01-010
4,ehem. Bahnobjekt mit Garagen Am Bahnhof 06231 Bad Dürrenberg,"24.000,00",Verkauft,"5.000,00",S21-01-011
5,"Baugrundstück in Leipzig-Thekla Verrinaweg, Flurstücke 435/3, 43/f 04349 Leipzig","3.000.000,00",Verkauft,"398.000,00",S21-01-012
6,"Grünfläche in Leipzig-Thekla Verrinaweg, Flurstücke 435/5, 43/21 04349 Leipzig","60.000,00",Verkauft,"9.000,00",S21-01-013
7,"Gartengrundstück in Leipzig-Thekla Am Eichberg, Flurstück 458/4 04349 Leipzig","52.000,00",Verkauft,"9.000,00",S21-01-014
8,Gartengrundstück mit Garage Am Wasserturm 04420 Markranstädt,"18.500,00",Verkauft,"5.000,00",S21-01-015
9,bezugsfreie Gewerbeeinheit Nr. 10 Geiststraße 36 06108 Halle (Saale),"94.000,00",Nachverkauft,"80.000,00",S21-01-016
10,vermietete Eigentumswohnung Nr. 62 Zum Dampfkesselbau 13 06188 Landsberg,"36.000,00",Verkauft,"25.000,00",S21-01-017
11,EFH mit Garten nahe Torgau Lindenstraße 22 04880 Trossin,"40.000,00",Verkauft,"9.000,00",S21-01-019
12,"vertragsfreie Landwirtschaftsfläche Flst. 241, 242 04758 Cavertitz","6.500,00",Verkauft,"3.000,00",S21-01-020
13,teilvermietetes Gewerbeobjekt Vierzoner Straße 19 06749 Bitterfeld-Wolfen,"260.000,00",Nachverkauft,"260.000,00",S21-01-021
14,Gewerbeobjekt mit großem Grundstück Vierzoner Straße 25 - 27 06749 Bitterfeld-Wolfen,"99.000,00",Nachverkauft,"99.000,00",S21-01-022
15,Gewerbeobjekt in guter Lage Leipziger Straße 1 06749 Bitterfeld-Wolfen,"80.000,00",Verkauft,"80.000,00",S21-01-023
16,Doppelhaushälfte mit Anbau Kanalstraße 5 06456 Arnstein (Harz),"25.000,00",Verkauft,"25.000,00",S21-01-024
17,Wohnhaus mit Scheune Kloppgasse 89 06536 Südharz,"9.000,00",Verkauft,"5.000,00",S21-01-025
18,Mehrfamilienhaus in historischer Altstadt An der Weiße 6 99310 Arnstadt,"205.000,00",Verkauft,"195.000,00",S21-01-026
19,Eckgrundstück mit kleineren Aufbauten Wilhelm-Faber-Straße / Ecke Geraer Landstraße 07570 Weida,"56.000,00",Verkauft,"35.000,00",S21-01-027
,info,sold_at,status,limit_price,nr
0,"3,3 ha Waldfläche Flurstücke 201/37, 201/38, 201/111 07570 Weida","18.000,00",Verkauft,"9.000,00",S21-01-028
1,Einfamilienhaus in ruhiger Lage Lindenstraße 13 07580 Großenstein,"49.000,00",Verkauft,"35.000,00",S21-01-029
2,Wohn- und Gewerbeobjekt in zentraler Lage Markt 2 07330 Probstzella,"13.500,00",Verkauft,"9.500,00",S21-01-030
3,"4 ha Waldfläche Flurstücke 915/1, 915/2, 918/1, 918/2, 919/1, 919/2 07366 Rosenthal am Rennsteig","55.000,00",Verkauft,"8.000,00",S21-01-031
4,Baugrundstück im Thüringer Wald Schleusinger Straße 98694 Ilmenau,"20.000,00",Verkauft,"10.000,00",S21-01-032
5,"Grünland, Wald- und Wegeflächen im Thüringer Wald Allzunaher Flur 98694 Ilmenau","4.500,00",Verkauft,"1.000,00",S21-01-033
6,unbebautes Grundstück Eisenberger Straße 07613 Hartmannsdorf,"14.000,00",Verkauft,"5.000,00",S21-01-034
7,unbebautes Grundstück Roßlebener Straße 06571 Roßleben-Wiehe,"15.500,00",Verkauft,"5.000,00",S21-01-035
8,"1,5 ha Waldfläche Flurstücke 39/2, 42/2, 42/4, 63/2, 66/2 99976 Anrode","6.000,00",Verkauft,"1.500,00",S21-01-036
9,Waldflächen Nähe L1102 07924 Ziegenrück,"3.000,00",Verkauft,"1.000,00",S21-01-037
10,"1,3 ha Holzungsfläche Schaalaer Chaussee, Flurstück 2 07407 Rudolstadt","6.500,00",Verkauft,"1.500,00",S21-01-038
11,"4 ha Waldfläche An der S 50, Flurstück 246/1 04565 Regis-Breitingen","31.000,00",Verkauft,"10.000,00",S21-01-039
12,Grundstück mit Gebäuderesten (ehem. Gasthaus) Bonauer Straße 15 06682 Teuchern,"9.000,00",Verkauft,"1.000,00",S21-01-040
13,ehem. Bahnobjekt mit Güterschuppen Alte Bahnhofstraße 06449 Aschersleben,"21.500,00",Verkauft,"1.000,00",S21-01-041
14,"Waldfläche Greizer Straße, Flurstück 1879/2 07907 Schleiz","5.000,00",Verkauft,"1.000,00",S21-01-042
15,"2,3 ha Waldfläche Flurstücke 408/4, 613/4 (neu), 615/1 07927 Hirschberg","27.500,00",Verkauft,"5.000,00",S21-01-043
16,"Acker- und Grünlandfläche Ascherwinkel, Flurstück 35 08223 Neustadt /Vogtland","8.500,00",Verkauft,"1.000,00",S21-01-044
17,Landwirtschaftsfläche Flurstück 1661/1456 98744 Schwarzatal,"3.500,00",Verkauft,"1.000,00",S21-01-045
18,Vermietete Eigentumswohnung Nr. 6 Andreas-Hecht-Straße 13/14 04736 Waldheim,"23.000,00",Verkauft,"22.000,00",S21-01-046
19,Bezugsfreie Eigentumswohnung Nr. 17 Andreas-Hecht-Straße 13/14 04736 Waldheim,"26.500,00",Nachverkauft,"19.000,00",S21-01-047
,info,sold_at,status,limit_price,nr
0,Gewerbeobjekt Frankenberger Str. 103 09131 Chemnitz,"75.000,00",Verkauft,"75.000,00",S21-01-048
1,überwiegend vermietetes Mehrfamilienhaus Frankenberger Straße 187 09131 Chemnitz,"340.000,00",Nachverkauft,"340.000,00",S21-01-049
2,Mehrfamilienhaus Fritz-Matschke-Straße 10 09113 Chemnitz,"850.100,00",Verkauft,"850.000,00",S21-01-051
3,Wohn- und Geschäftshaus Uhlandstraße 3 09130 Chemnitz,"550.000,00",Verkauft,"550.000,00",S21-01-052
4,Mehrfamilienhaus Clausstraße 71 09126 Chemnitz,"450.100,00",Verkauft,"450.000,00",S21-01-053
5,Mehrfamilienhaus Bernsdorfer Straße 187 09126 Chemnitz,"350.000,00",Verkauft,"350.000,00",S21-01-054
6,"0,8 ha Ausgleichsfläche ""Streuobstwiese"" Wieseneck 09128 Chemnitz","58.000,00",Verkauft,"16.000,00",S21-01-055
7,Landwirtschaftsflächen Untere Hauptstraße und Chemnitztalstraße 09228 Chemnitz,"3.000,00",Verkauft,"1.500,00",S21-01-056
8,"Ehemalige Ausflugsgaststätte ""Lochmühle"" mit 1,5 ha Grundstück Lochmühlenstraße 16a 09648 Kriebstein","76.000,00",Verkauft,"49.000,00",S21-01-057
9,Mehrfamilienhaus Striegnitzer Straße 7 01623 Lommatzsch,"22.000,00",Verkauft,"22.000,00",S21-01-060
10,bezugsfreie Eigentumswohnung Nr. 1 Weißer Hirsch 6 01683 Nossen,"25.001,00",Verkauft,"19.000,00",S21-01-061
11,sanierungsbedürftiges Mehrfamilienhaus Basteistraße 40 01814 Bad Schandau,"40.000,00",Verkauft,"30.000,00",S21-01-068
12,"Waldfläche Flurstücke 54, 55d 01731 Kreischa","2.500,00",Verkauft,"1.000,00",S21-01-069
13,Waldfläche Nähe Bautzener Straße 02694 Malschwitz,"4.500,00",Verkauft,"2.000,00",S21-01-070
14,verpachtete Gartengrundstücke sowie eine kleine Waldfläche hinter Bautzner Straße 53-75 02694 Malschwitz,"21.000,00",Verkauft,"10.000,00",S21-01-071
15,"Einfamilienhaus mit Einliegerwohnung in bevorzugter Wohnlage Hauptstraße 69, 69a 03051 Cottbus","395.000,00",Verkauft,"395.000,00",S21-01-072
16,ehemalige Fabrikantenvilla Neustädter Straße 15 02625 Bautzen,"565.000,00",Verkauft,"498.000,00",S21-01-073
17,"unbebaute Grundstücke Flurstücke 135, 137, 138, 140, 141, 89 02977 Hoyerswerda","5.000,00",Verkauft,"1.000,00",S21-01-074
18,"1 ha Waldfläche Flurstücke 188, 189/2 01936 Schwepnitz","9.000,00",Verkauft,"2.000,00",S21-01-075
19,"unbebautes Grundstück hinter Grüner Winkel 2-8, Flurstück 734/66 09465 Sehmatal-Sehma","1.000,00",Verkauft,"500,00",S21-01-076
,info,sold_at,status,limit_price,nr
0,denkmalgeschütztes Wohn- und Geschäftshaus mit ehem. Saal Bergstraße 46 08328 Stützengrün,"26.000,00",Verkauft,"15.000,00",S21-01-078
1,"2,5 ha Waldflächen Kreuzelweg, Flurstücke 823/1, 827, 829/1 08309 Eibenstock","28.000,00",Verkauft,"5.000,00",S21-01-079
2,"Teileigentum in einem Geschäftshaus Oberer Viebig 2 b, TE-Nr. 16 02785 Olbersdorf","6.500,00",Verkauft,"6.000,00",S21-01-081
3,sanierungsbedürftiges Wohnhaus Görlitzer Straße 38 02748 Bernstadt auf dem Eigen,"12.500,00",Verkauft,"12.500,00",S21-01-082
4,Mehrfamilienhaus im Villenstil Gabelsbergerstraße 6 02779 Großschönau,"120.000,00",Nachverkauft,"120.000,00",S21-01-083
5,Mehrfamilienhaus Nordstraße 37 02782 Seifhennersdorf,"172.000,00",Verkauft,"119.000,00",S21-01-084
6,sanierungsbedürftiges Mehrfamilienhaus Görlitzer Straße 7 02763 Zittau,"35.000,00",Nachverkauft,"35.000,00",S21-01-085
7,Mehrfamilienhaus Äußere Weberstraße 56 02763 Zittau,"16.000,00",Verkauft,"15.000,00",S21-01-086
8,Mehrfamilienhaus Löbauer Straße 24 02763 Zittau,"26.000,00",Nachverkauft,"15.000,00",S21-01-088
9,sanierungsbedürftiges Mehrfamilienhaus Löbauer Straße 34 02763 Zittau,"15.000,00",Nachverkauft,"15.000,00",S21-01-089
10,sanierungsbedürftiges Mehrfamilienhaus Löbauer Straße 31 02763 Zittau,"15.500,00",Nachverkauft,"15.000,00",S21-01-090
11,Attraktives Mehrfamilienhaus in Jugendstil Mosenstraße 13 08209 Auerbach,"182.000,00",Verkauft,"85.000,00",S20-04-001
12,denkmalgeschütztes Mehrfamilienhaus Schillerstraße 16 08223 Falkenstein,"86.000,00",Verkauft,"69.000,00",S20-04-002
13,Überwiegend vermietetes Mehrfamilienhaus Goethestraße 52 08223 Falkenstein,"45.000,00",Nachverkauft,"59.000,00",S20-04-003
14,Denkmalgeschütztes Wohn- und Geschäftshaus Dr.-Robert-Koch-Straße 5 08223 Falkenstein,"40.000,00",Verkauft,"39.000,00",S20-04-004
15,Mehrfamilienhaus in ruhiger Lage Auerbacher Straße 4 08223 Falkenstein,"7.500,00",Verkauft,"5.000,00",S20-04-005
16,"überwiegend unbebautes Grundstück Gutenfürster Allee, Flurstück 254/5 08538 Weischlitz","12.500,00",Verkauft,"5.000,00",S20-04-006
17,Garten- und Erholungsrundstück Flurstück 470/2 08262 Muldenhammer,"5.500,00",Verkauft,"2.500,00",S20-04-007
18,unbebautes Grundstück Lessingstraße 08523 Plauen,"19.000,00",Verkauft,"9.000,00",S20-04-008
19,Gewerbegrundstück mit Potenzial Chrieschwitzer Straße 47 08525 Plauen,"650.000,00",Verkauft,"650.000,00",S20-04-009
,info,sold_at,status,limit_price,nr
0,Wohnhaus in innerstädtischer Lage Berggasse 1 08134 Wildenfels,"7.500,00",Verkauft,"3.000,00",S20-04-010
1,sanierungsbedürftiges Wohnhaus Leipziger Straße 57 08371 Glauchau,"6.500,00",Verkauft,"1.000,00",S20-04-011
2,"Waldfläche Am Hammerwald, Flurstück 257a 08064 Zwickau","5.000,00",Verkauft,"500,00",S20-04-012
3,attraktive Villa Greizer Straße 12a 08412 Werdau,"234.000,00",Verkauft,"98.000,00",S20-04-013
4,Mehrfamilienhaus mit Nebengebäude Frankenberger Straße 202 09131 Chemnitz,"715.000,00",Nachverkauft,"580.000,00",S20-04-014
5,denkmalg. Wohn-/Geschäftshaus in guter Lage Wittenberger Straße 5 09126 Chemnitz,"750.000,00",Verkauft,"685.000,00",S20-04-015
6,"Wohn- und Geschäftshaus in guter, innerstädtischer Lage Jahnstraße 57 09126 Chemnitz","500.000,00",Verkauft,"500.000,00",S20-04-016
7,teilvermietetes Wohn- und Geschäftshaus in guter Lage Paul-Gruner-Straße 12 09120 Chemnitz,"655.000,00",Nachverkauft,"525.000,00",S20-04-017
8,"1,8 ha Garten- und Waldfläche Popowstraße, Flurstücke 387/1, 389 09116 Chemnitz","29.000,00",Verkauft,"5.000,00",S20-04-018
9,vertragsfreie Landwirtschaftsflächen Neefestraße (Wiesenbach 1) 09117 Chemnitz,"2.000,00",Verkauft,"2.000,00",S20-04-019
10,"Baugrundstück in Innenstadtlage Hahnebergerstraße, Flurstück 505/18 01069 Dresden","998.000,00",Verkauft,"998.000,00",S20-04-020
11,bezugsfreie ETW 12 im Waldschlösschen-Viertel Charlottenstraße 30 01099 Dresden,"119.000,00",Nachverkauft,"119.000,00",S20-04-021
12,Eigentumswohnung Nr. 2 mit großem Gartenanteil Boltenhagener Straße 32 01109 Dresden,"235.000,00",Verkauft,"235.000,00",S20-04-022
13,6 Tiefgaragenstellplätze im Paket Carrierastraße 1 -21 01139 Dresden,"15.000,00",Verkauft,"15.000,00",S20-04-023
14,teilweise vermieteter Büro- und Verwaltungskomplex Berthelsdorfer Straße 8 09618 Brand-Erbisdorf,"600.000,00",Verkauft,"600.000,00",S20-04-025
15,bezugsfreie Eigentumswohnung Nr. D Am Kaltofenring 4 09618 Brand-Erbisdorf,"18.000,00",Verkauft,"15.000,00",S20-04-026
16,bezugsfreie Eigentumswohnung Nr. 11 Am Quellenberg B 9a 01833 Dürrröhrsdorf-Dittersbach,"9.000,00",Verkauft,"9.000,00",S20-04-027
17,sanierungsbedürftiges Wohnhaus Floßmühle 2 09579 Borstendorf,"9.000,00",Verkauft,"9.000,00",S20-04-028
18,Erholungsfläche mit Gartenhaus Blauenthaler Straße 08321 Zschorlau,"4.000,00",Verkauft,"1.500,00",S20-04-029
19,Grundstück mit Restbebauung Hirschbergstraße 4 01662 Meißen,"26.000,00",Verkauft,"25.000,00",S20-04-030
,info,sold_at,status,limit_price,nr
0,"Waldfläche direkt an der Lößnitzgrundbahn Friedewaldstraße, Flurstück 312 01468 Moritzburg","2.100,00",Verkauft,"200,00",S20-04-031
1,Waldfläche Flurstück 454/2 01561 Großenhain,"500,00",Verkauft,"500,00",S20-04-033
2,ehemaliges Bahnwärterhaus mit Nebengebäude Bodenbacher Weg 13 01683 Nossen,"9.000,00",Verkauft,"5.000,00",S20-04-034
3,"1,2 ha unbebaute Grundstücke Flurstücke 26, 81a, 82, 85, 87, 109 01623 Lommatzsch","2.000,00",Verkauft,"1.500,00",S20-04-035
4,sanierungsbedürftiges Wohnhaus Markt 26 04746 Hartha,"29.000,00",Verkauft,"29.000,00",S20-04-036
5,ehemaliges Herrenhaus Birnenallee 3 04720 Zschaitz-Ottewig,"28.000,00",Nachverkauft,"28.000,00",S20-04-037
6,Einfamilienhaus mit attraktivem Blick übers Elbtal Obervogelgesang 5/6 01796 Pirna,"14.500,00",Verkauft,"4.000,00",S20-04-038
7,"unbebautes Grundstück Muldaer Straße, Flurstück 1080a 09638 Lichtenberg/Erzgebirge","500,00",Verkauft,"500,00",S20-04-039
8,Einfamilienhaus am idyllischen Dorfbach Mörnerstraße 69 09629 Reinsberg,"19.000,00",Verkauft,"19.000,00",S20-04-040
9,Wohnhaus in innerstädtischer Lage Am Damm 1 09661 Hainichen,"2.500,00",Verkauft,"2.500,00",S20-04-041
10,"unbebaute Grundstücke Flurstücke 58, 59, 19, 43, 151/2, 155, 57/2, 17/2 02953 Bad Muskau","2.000,00",Verkauft,"1.000,00",S20-04-043
11,"1,1 ha Waldflächen Flurstücke 99/3, 212 02999 Lohsa","9.000,00",Verkauft,"1.000,00",S20-04-044
12,"1,1 ha Waldflächen Flurstücke 20/3, 30/1, 43/2, 107/1, 115/1, 115/2, 116/1, 116/2 02999 Lohsa","10.000,00",Verkauft,"1.500,00",S20-04-045
13,"1,8 ha Waldflächen Flurstücke 4/7, 6/1, 2/4, 21/10, 21/11, 21/12, 34/7, 40/2, 40/4, 40/9, 40/10, 40/11, 40/12 02999 Lohsa","14.000,00",Verkauft,"1.500,00",S20-04-046
14,sanierungsbedürftiges Mehrfamilienhaus mit großem Grundstück Neusalzaer Straße 42 02763 Zittau,"21.500,00",Verkauft,"19.000,00",S20-04-047
15,sanierungsbedürftiges Mehrfamilienhaus Eckartsberger Straße 43 02763 Zittau,"9.000,00",Verkauft,"9.000,00",S20-04-048
16,attraktives Wohnhaus Bahnhofstraße 7 38899 Oberharz am Brocken,"90.000,00",Nachverkauft,"90.000,00",S20-04-049
17,Einfamilienhaus im Rohbau Bergstraße 17 39288 Burg,"35.500,00",Verkauft,"8.000,00",S20-04-051
18,Gewerbeobjekt mit großem Grundstück Vierzoner Straße 21 06749 Bitterfeld-Wolfen,"106.000,00",Verkauft,"95.000,00",S20-04-055
19,vermietete Eigentumswohnung Nr. 91 Zum Dampfkesselbau 19 06188 Landsberg,"32.000,00",Verkauft,"22.000,00",S20-04-056
,info,sold_at,status,limit_price,nr
0,vermietete Eigentumswohnung Nr. 77 Zum Dampfkesselbau 15 06188 Landsberg,"36.000,00",Verkauft,"25.000,00",S20-04-057
1,bezugsfreie Eigentumswohnung Nr. 92 Zum Dampfkesselbau 19 06188 Landsberg,"36.000,00",Verkauft,"25.000,00",S20-04-058
2,bezugsfreie Eigentumswohnung Nr. 8 Neue Reihe 1- 3 06295 Lutherstadt Eisleben,"21.500,00",Verkauft,"6.000,00",S20-04-059
3,bezugsfreies Ladengeschäft Leipziger Straße 17b 04509 Delitzsch,"24.000,00",Verkauft,"19.500,00",S20-04-060
4,vermietete Eigentumswohnung Nr. 6 Auestraße 16 - 17 06712 Zeitz,"22.000,00",Verkauft,"9.000,00",S20-04-061
5,Wohnhaus in ruhiger Lage Schkauditzer Landstraße 5 06722 Wetterzeube,"12.000,00",Verkauft,"5.000,00",S20-04-062
6,Idyllisch gelegenes Zweifamilienhaus Schulberg 38 06712 Gutenborn,"25.000,00",Verkauft,"25.000,00",S20-04-063
