,info,sold_at,status,limit_price,nr
3,attraktives Mehrfamilienhaus in guter Lage Podemusstraße 11 01157 Dresden,"1.000.000,00",Nachverkauft,"1.100.000,00",S21-04-046
4,attraktives Wohn- und Geschäftshaus in guter Lage Warthaer Straße 4 01157 Dresden,"750.000,00",Verkauft,"750.000,00",S21-04-047
5,bezugsfreie 4-Zimmer Eigentumswohnung Nr. 12/13 und Bodenraum Nr. 15/16 Pfotenhauer Straße 71 01307 Dresden,"412.000,00",Verkauft,"298.000,00",S21-04-048
6,Tiefgaragenstellplatz Nr. 45 in der Dresdener Neustadt Bautzner Straße 12 01099 Dresden,"16.500,00",Verkauft,"16.000,00",S21-04-049
7,vermieteter Tiefgaragenstellplatz Nr. 142 Carrierastraße 1 -21 01139 Dresden,"4.500,00",Verkauft,"2.500,00",S21-04-050
8,"überwiegend vermietete Tiefgaragenstellplätze Nr. 20, 24, 32, 42 Lessingstraße 01705 Freital","10.500,00",Verkauft,"8.000,00",S21-04-051
9,vermietetes Mehrfamilienhaus mit Parkplätzen Dorfstraße 36 09366 Niederdorf bei Stollberg/Erzgebirge,"250.000,00",Verkauft,"250.000,00",S21-04-053
10,Wohnhaus/Ferienobjekt am Parkplatz der Ski-Arena Lohgasse 1 08309 Eibenstock,"104.000,00",Verkauft,"75.000,00",S21-04-054
11,"Wohn- und Geschäftshaus, unweit dem Markt von Glauchau Nicolaistraße 2 08371 Glauchau","50.000,00",Verkauft,"50.000,00",S21-04-055
12,"denkmalgeschütztes Wohn- und Geschäftshaus, unweit vom Markt von Glauchau Nicolaistraße 1 08371 Glauchau","23.500,00",Verkauft,"2.000,00",S21-04-056
13,Vollvermietetes Mehrfamilienhaus Rißbrücker Weg 1 08262 Muldenhammer,"104.000,00",Verkauft,"55.000,00",S21-04-057
14,Leerstehendes Reihenendhaus Karlstraße 6a 08412 Werdau,"41.000,00",Verkauft,"9.000,00",S21-04-058
15,Waldgrundstück Flurstück 211 08606 Triebel,"75.000,00",Verkauft,"42.000,00",S21-04-059
16,attraktives Mehrfamilienhaus Innere Herlasgrüner Straße 30 08233 Treuen,"126.000,00",Verkauft,"68.000,00",S21-04-060
17,Mehrfamilienhaus als ehemalige Tränenkirche Mylauer Berg 22 08491 Netzschkau,"71.000,00",Verkauft,"25.000,00",S21-04-061
18,Wochenendgrundstück 08485 Lengenfeld/Vogtland,"42.000,00",Verkauft,"25.000,00",S21-04-062
19,Gewerbekomplex hinter Dorfstädter Straße 11 08223 Falkenstein,"18.000,00",Verkauft,"1.000,00",S21-04-064
,info,sold_at,status,limit_price,nr
0,Waldgrundstück mit Gartenhäuschen Bahnstraße 08261 Schöneck/Vogtland,"7.000,00",Verkauft,"1.000,00",S21-04-065
1,bezugsfreie Eigentumswohnung Oberreichenbacher Straße 166 08468 Reichenbach,"14.000,00",Verkauft,"5.000,00",S21-04-066
2,Mehrfamilienhaus und ehemalige Weberei Am Berg 5 08626 Adorf,"30.000,00",Verkauft,"5.000,00",S21-04-067
3,Gartengrundstück in schöner Lage Flurstück 172 08527 Plauen,"3.500,00",Verkauft,"3.500,00",S21-04-068
4,Mehrfamilienhaus mit großem Grundstück u. Garagen August-Bebel-Straße 54 06712 Zeitz,"250.000,00",Verkauft,"149.000,00",S21-03-001
5,2 ETW im Paket Freiligrathstraße 43 c 06712 Zeitz,"26.500,00",Verkauft,"5.000,00",S21-03-002
6,Wohn- und Geschäftshaus mit Nebengebäude im Zentrum Rote Gasse 15 06721 Osterfeld,"30.000,00",Verkauft,"15.000,00",S21-03-003
7,Mehrfamilienhaus unweit des Domes Michaelisstraße 28 06618 Naumburg (Saale),"35.000,00",Verkauft,"29.000,00",S21-03-004
8,"verpachtetes Gartengrundstück Bahnhofstraße, Flurstück 1184/121 07619 Schkölen","19.000,00",Verkauft,"1.000,00",S21-03-005
9,Wohn- und Geschäftshaus unmittelbar am Markt Jüdenhof 1 06295 Lutherstadt Eisleben,"49.000,00",Nachverkauft,"49.000,00",S21-03-006
10,Ferienbungalow Schönburg 12 06618 Schönburg (Saale),"11.000,00",Verkauft,"3.000,00",S21-03-007
11,Mehrfamilienhaus Siebigeröder Straße 33 06308 Klostermansfeld,"82.000,00",Verkauft,"59.000,00",S21-03-008
12,Einfamilienhaus mit Nebengelass Grabenstraße 1 A 06308 Klostermansfeld,"39.000,00",Verkauft,"39.000,00",S21-03-009
13,Zweifamilienhaus mit großem Grundstück und Schlossblick Lutherplatz 2 06343 Mansfeld,"51.000,00",Verkauft,"50.000,00",S21-03-010
14,Wohn- und Gewerbeobjekt Mühlgasse 2 06343 Mansfeld,"26.000,00",Verkauft,"9.500,00",S21-03-011
15,Zweifamilienhaus mit Terrasse und Schlossblick Spangenberggasse 4 06343 Mansfeld,"42.000,00",Verkauft,"39.000,00",S21-03-012
16,Grundstück in Zentrumsrandlage Merseburger Straße 17 Ecke Hospitalstraße 3 06667 Weißenfels,"41.000,00",Verkauft,"35.000,00",S21-03-013
17,Wohn- und Geschäftshaus Dostojewskistraße 1 04600 Altenburg,"545.000,00",Verkauft,"495.000,00",S21-03-014
18,"Garagengrundstück Am Lerchenberg, 04600 Altenburg","62.000,00",Verkauft,"5.000,00",S21-03-015
19,"Gartengrundstück Am Lerchenberg, 04600 Altenburg","22.500,00",Verkauft,"2.500,00",S21-03-016
,info,sold_at,status,limit_price,nr
0,"Garten- und Wiesengrundstück am Altenburger Stadtwald Käthe-Kollwitz-Straße, 04600 Altenburg","9.500,00",Verkauft,"5.000,00",S21-03-017
1,Doppelhaushälfte mit Gästehaus Dimitroffstraße 64 06682 Teuchern,"56.000,00",Verkauft,"29.000,00",S21-03-018
2,unweit von Leipzig gelegene Eigentumswohnung Straße der Einheit 22 04575 Neukieritzsch,"19.500,00",Verkauft,"9.000,00",S21-03-019
3,kleiner Dreiseitenhof nahe Leipzig Dr.-Otto-Kunzmann-Straße 17 04523 Pegau,"19.000,00",Verkauft,"10.000,00",S21-03-020
4,Waldflächen diverse Flurstücke 04552 Borna,"230.000,00",Verkauft,"98.000,00",S21-03-021
5,denkmalgeschützter Altbau in Gohlis Hans-Oster-Straße 18 04157 Leipzig,"2.050.000,00",Verkauft,"950.000,00",S21-03-022
6,"unbebaute Grundstücke Knautnaundorfer Straße, Flurstück 245/11 und Werkstraße, Flurstück 180/10 04249 Leipzig","16.500,00",Verkauft,"5.000,00",S21-03-023
7,"1,9 ha Waldfläche Am Wolfswinkel/Equipagenweg, Flurstück 270/13 04416 Markkleeberg","62.000,00",Verkauft,"19.000,00",S21-03-024
8,vermietetes Mehrfamilienhaus Gothaer Straße 12 06116 Halle (Saale),"457.300,00",Nachverkauft,"510.000,00",S21-03-025
9,Schmuckstück im Stadthaus (ETW 8) Händelstraße 7 06114 Halle (Saale),"305.000,00",Verkauft,"199.000,00",S21-03-026
10,"Bauerwartungsland ""In der Aue"" Südstraße, diverse Flurstücke 06179 Teutschenthal","126.000,00",Verkauft,"95.000,00",S21-03-027
11,"unbebaute Grundstücke An den Angerwiesen, Flurstücke 497/13, 497k 04651 Bad Lausick","12.500,00",Verkauft,"2.000,00",S21-03-028
12,"unbebautes Grundstück Zum Torbogen, Flurstück 563 04654 Frohburg","9.500,00",Verkauft,"5.000,00",S21-03-029
13,"unbebautes Grundstück Zschirlaer Waldstraße, 04680 Colditz","2.500,00",Verkauft,"2.000,00",S21-03-030
14,Einfamilienhaus Kreuzgasse 1 04808 Wurzen,"54.000,00",Verkauft,"10.000,00",S21-03-031
15,"Grün- und Ackerland Siedlungsweg, Flurstücke 512, 513, 518 04808 Wurzen","29.500,00",Verkauft,"5.000,00",S21-03-032
16,"unbebautes Grundstück inmitten der Ortslage Gartenstraße, Flurstück 54/19 04509 Krostitz","25.000,00",Verkauft,"3.000,00",S21-03-033
17,"Holzungsfläche Am Lauchberg, Flurstück 102 04838 Eilenburg","3.500,00",Verkauft,"1.000,00",S21-03-034
18,ehem. Bahnhof An der Bahn 04860 Torgau,"152.000,00",Verkauft,"5.000,00",S21-03-035
19,Wohnhaus mit Nebengebäude Schnellrodaer Straße 17 06268 Steigra,"11.000,00",Verkauft,"1.000,00",S21-03-036
,info,sold_at,status,limit_price,nr
0,Denkmalgeschütztes teilweise vermietetes Mehrfamilienhaus und Wohn- und Geschäftshaus Neu Staßfurt 2 39418 Staßfurt,"245.000,00",Verkauft,"220.000,00",S21-03-038
1,"Zweifamilienhaus mit großem Grundstück Schulstraße 34, 34 A 06493 Harzgerode","52.000,00",Verkauft,"50.000,00",S21-03-039
2,Mehrfamilienhaus mit Nebengebäude Hauptstraße 13 06493 Harzgerode,"31.000,00",Verkauft,"9.000,00",S21-03-040
3,denkmalgeschütztes Mehrfamilienhaus Badstuben 31 06449 Aschersleben,"35.000,00",Verkauft,"35.000,00",S21-03-041
4,Kleingärten am Bahnhof Halberstadt Wehrstedter Str. / Magdeburger Chausee 38820 Halberstadt,"7.500,00",Verkauft,"5.000,00",S21-03-042
5,"Gewerbegrundstück mit 3,2 ha Schlagbreite 06847 Dessau-Roßlau","208.000,00",Verkauft,"99.000,00",S21-03-043
6,"1,5 ha unbebautes Grundstück Taubacher Straße, Flurstück 170 99425 Weimar","153.000,00",Verkauft,"9.000,00",S21-03-045
7,Erholungsgrundstück vor den Toren Eisenach Im Natzental 99817 Eisenach,"12.000,00",Verkauft,"7.000,00",S21-03-046
8,Mehrfamilienhaus im Thüringer Wald Schleusinger Straße 29 98694 Ilmenau,"37.000,00",Verkauft,"11.000,00",S21-03-048
9,"Wald- und Erholungsflächen Am Oehrenberg, Mittelweg, 98693 Ilmenau","3.000,00",Verkauft,"1.000,00",S21-03-049
10,Denkmalgeschützter Ackerbürgerhof mit 2 Wohnhäusern Untere Marktstraße 24 und 26 99326 Stadtilm,"18.000,00",Verkauft,"9.000,00",S21-03-050
11,Waldfläche Flurstück 47 98574 Schmalkalden,"3.500,00",Verkauft,"1.000,00",S21-03-051
12,Wohn- und Geschäftshaus Jüdenstraße 37 99755 Ellrich,"9.000,00",Verkauft,"2.000,00",S21-03-052
13,ehem. Bahnhof Bahnhofstraße 99755 Ellrich,"6.500,00",Verkauft,"1.000,00",S21-03-053
14,unbebautes Grundstück Gewerbepark (neben Nr. 12) 96528 Frankenblick,"5.000,00",Verkauft,"1.000,00",S21-03-054
15,"unbebaute Grundstücke Flurstücke 517, 768/1 98593 Floh-Seligenthal","2.000,00",Verkauft,"500,00",S21-03-055
16,"Waldfläche Fortschrittweg, 04610 Meuselwitz","9.000,00",Verkauft,"1.000,00",S21-03-056
17,Großes Teichgrundstück mit Ferienbungalow Dorfstraße 08606 Triebel,"55.000,00",Nachverkauft,"65.000,00",S21-03-057
18,Wochenendgrundstück mit Ferienhaus und Weitblick Waldweg 15 08648 Bad Brambach,"168.000,00",Verkauft,"98.000,00",S21-03-059
